Date,Yield
12-1996,7.09
01-1997,7.09
02-1997,7.02
03-1997,7.17
04-1997,7.47
05-1997,7.3
06-1997,7.26
07-1997,7.07
08-1997,6.81
09-1997,6.98
10-1997,6.66
11-1997,6.7
12-1997,6.69
01-1998,6.56
02-1998,6.44
03-1998,6.6
04-1998,6.5
05-1998,6.53
06-1998,6.42
07-1998,6.38
08-1998,6.43
09-1998,6.49
10-1998,5.91
11-1998,6.38
12-1998,6.1
01-1999,6.15
02-1999,6.17
03-1999,6.67
04-1999,6.54
05-1999,6.56
06-1999,7.04
07-1999,7.1
08-1999,7.27
09-1999,7.42
10-1999,7.4
11-1999,7.42
12-1999,7.5
01-2000,7.82
02-2000,7.86
03-2000,7.85
04-2000,7.75
05-2000,8.11
06-2000,8.21
07-2000,7.93
08-2000,7.84
09-2000,7.68
10-2000,7.66
11-2000,7.77
12-2000,7.66
01-2001,7.31
02-2001,6.78
03-2001,6.71
04-2001,6.69
05-2001,6.73
06-2001,6.69
07-2001,6.66
08-2001,6.3
09-2001,6.18
10-2001,6.05
11-2001,5.79
12-2001,6.05
01-2002,6.25
02-2002,6.23
03-2002,6.36
04-2002,6.76
05-2002,6.55
06-2002,6.2
07-2002,6.19
08-2002,6.06
09-2002,5.82
10-2002,5.58
11-2002,5.81
12-2002,5.58
01-2003,5.08
02-2003,5.07
03-2003,4.69
04-2003,4.75
05-2003,4.51
06-2003,4.12
07-2003,4.15
08-2003,4.87
09-2003,4.87
10-2003,4.3
11-2003,4.66
12-2003,4.68
01-2004,4.45
02-2004,4.35
03-2004,4.2
04-2004,4.15
05-2004,4.73
06-2004,5.02
07-2004,4.96
08-2004,4.9
09-2004,4.56
10-2004,4.63
11-2004,4.56
12-2004,4.82
01-2005,4.72
02-2005,4.72
03-2005,4.94
04-2005,5.18
05-2005,5.05
06-2005,4.77
07-2005,4.91
08-2005,5.13
09-2005,4.85
10-2005,5.26
11-2005,5.5
12-2005,5.52
01-2006,5.36
02-2006,5.51
03-2006,5.56
04-2006,5.81
05-2006,5.97
06-2006,6.04
07-2006,6.15
08-2006,5.96
09-2006,5.74
10-2006,5.63
11-2006,5.55
12-2006,5.41
01-2007,5.68
02-2007,5.77
03-2007,5.49
04-2007,5.61
05-2007,5.6
06-2007,5.93
07-2007,5.98
08-2007,6.02
09-2007,5.91
10-2007,5.89
11-2007,5.75
12-2007,5.61
01-2008,5.8
02-2008,5.49
03-2008,5.55
04-2008,6.03
05-2008,5.98
06-2008,6.12
07-2008,6.42
08-2008,6.56
09-2008,6.56
10-2008,7.79
11-2008,9.14
12-2008,8.51
01-2009,7.83
02-2009,7.53
03-2009,7.9
04-2009,7.93
05-2009,7.28
06-2009,6.68
07-2009,6.13
08-2009,5.65
09-2009,5.21
10-2009,4.91
11-2009,4.88
12-2009,4.67
01-2010,4.89
02-2010,4.6
03-2010,4.58
04-2010,4.58
05-2010,4.43
06-2010,4.58
07-2010,4.32
08-2010,4.05
09-2010,3.86
10-2010,3.68
11-2010,3.63
12-2010,3.98
01-2011,4.1
02-2011,4.1
03-2011,4.04
04-2011,4.11
05-2011,3.88
06-2011,3.67
07-2011,3.89
08-2011,3.57
09-2011,3.67
10-2011,3.91
11-2011,3.7
12-2011,4.09
01-2012,3.88
02-2012,3.54
03-2012,3.44
04-2012,3.47
05-2012,3.4
06-2012,3.4
07-2012,3.29
08-2012,3.05
09-2012,2.97
10-2012,2.84
11-2012,2.76
12-2012,2.76
01-2013,2.77
02-2013,2.88
03-2013,2.79
04-2013,2.81
05-2013,2.65
06-2013,3
07-2013,3.44
08-2013,3.42
09-2013,3.48
10-2013,3.4
11-2013,3.26
12-2013,3.29
01-2014,3.35
02-2014,3.13
03-2014,3.06
04-2014,3.2
05-2014,3.06
06-2014,2.99
07-2014,3.01
08-2014,3.03
09-2014,2.94
10-2014,3.09
11-2014,3.1
12-2014,3.09
01-2015,3.21
02-2015,2.9
03-2015,3.04
04-2015,2.89
05-2015,3.06
06-2015,3.17
07-2015,3.39
08-2015,3.31
09-2015,3.46
10-2015,3.43
11-2015,3.44
12-2015,3.45
01-2016,3.68
02-2016,3.66
03-2016,3.6
04-2016,3.21
05-2016,3.1
06-2016,3.15
07-2016,2.86
08-2016,2.79
09-2016,2.79
10-2016,2.86
11-2016,2.96
12-2016,3.45
01-2017,3.39
02-2017,3.39
03-2017,3.36
04-2017,3.31
05-2017,3.3
06-2017,3.19
07-2017,3.25
08-2017,3.11
09-2017,3.12
10-2017,3.18
11-2017,3.19
12-2017,3.26
01-2018,3.27
02-2018,3.51
03-2018,3.7
04-2018,3.79
05-2018,4
06-2018,3.99
07-2018,4.09
08-2018,4.07
09-2018,4
10-2018,4.14
11-2018,4.32
12-2018,4.4
01-2019,4.25
02-2019,4.02
03-2019,4
04-2019,3.74
05-2019,3.66
06-2019,3.43
07-2019,3.23
08-2019,3.09
09-2019,2.86
10-2019,2.93
11-2019,2.92
12-2019,2.97
01-2020,2.9
02-2020,2.64
03-2020,2.45
04-2020,3.66
05-2020,2.8
06-2020,2.48
07-2020,2.21
08-2020,1.93
09-2020,1.96
10-2020,2.05
11-2020,2.07
12-2020,1.89
01-2021,1.79
02-2021,1.89
03-2021,2.1
04-2021,2.24
05-2021,2.17
06-2021,2.15
07-2021,2.08
08-2021,1.92
09-2021,2
10-2021,2.1
11-2021,2.25
12-2021,2.3
01-2022,2.45
02-2022,2.78
03-2022,3.02
04-2022,3.64
05-2022,4.36
06-2022,4.29
07-2022,4.63
08-2022,4.33
09-2022,4.95
10-2022,5.58
11-2022,5.96
12-2022,5.23
01-2023,5.49
02-2023,4.94
03-2023,5.65
04-2023,5.16
05-2023,5.29
06-2023,5.38
07-2023,5.59
08-2023,5.59
09-2023,5.73
10-2023,6.18
11-2023,6.25
12-2023,5.54
01-2024,5.14
02-2024,5.1
03-2024,5.4
04-2024,5.46
